semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
602;Padre Lemos, Rua;Visconde de Taunay, Rua;E;Veic.C/Ped.Ocas.;N;N;-8.024301;-34.917945
603;Guararapes, Av.;Estação BRT Guararapes, (Sub/Cid);E/Git;Pedestre;N;N;-8.0636434;-34.878893
604;Guararapes, Av.;Estação BRT Guararapes, (Cid/Sub);E/Git;Pedestre;N;N;-8.0635690;-34.878803
605;Caxangá, Av.;Estação BRT Riacho Cavoco (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.036393;-34.946281
606;Caxangá, Av.;Estação BRT Pq. Do Cordeiro (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.046407;-34.928610
607;Caxangá, Av.;Estação BRT Caiara, (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.043293;-34.933760
608;Caxangá, Av.;Estação BRT Riacho Cavoco (Sub/Cid);E/Git;Pedestre;N;N;-8.036567;-34.946324
609;Caxangá, Av.;Estação BRT Eng. Poeta, (Cid/Sub);E/Git;Ocasional/Ped.;N;N;-8.034399;-34.949951
610;Caxangá, Av.;Estação BRT Caiara, (Sub/Cid);E/Git;Ocasional/Ped.;N;N;-8.043459;-34.933822
611;21 de Abril, Rua;Proximo a Rua Bezerra da Palma;E/Git;Ocasional/Ped.;N;N;-8.076367;-34.913519
612;Estrada de Belém;Próx. a Rua São Félix;E;Ocasional/Ped.;N;N;-8.032265;-34.879187
613;Des. Goes Cavalcante, Rua;Albino Meira, Próx a Rua;E/Git;Ocasional/Ped.;N;N;-8.031017;-34.908528
614;17 de Agosto, Av.;Flor de Santana, Av.;E/Git;Veicular;N;N;-8.035525;-34.912678
615;José Rufino, Av. Dr.;Ao Nº 2673, Em frente;E/Git;Ocasional/Ped.;N;N;-8.092823;-34.946131
616;Recife, Av.;Nº 2843, Em frente ao(Aeroporto/CEASA);E/Git;Ocasional/Ped.;N;N;-8.112691;-34.926312
617;Recife, Av.;Areias, Em frente ao Hospital Geral de;E/Git;Ocasional/Ped.;N;N;-8.100470;-34.928072
618;Recife, Av.;Conj. Inês Andreasa, Em frente ao;E/Git;Ocasional/Ped.;N;N;-8.097504;-34.928465
619;Recife, Av.;Nº 727, Em frente ao;E/Git;Ocasional/Ped.;N;N;-8.092766;-34.929158
620;Recife, Av.;Tapajós, Av.;E/Git;Ocasional/Ped.;N;N;-8.090861;-34.929408
621;Recife, Av.;Semáforo nº 461, Lado oposto ao;E/Git;Ocasional/Ped.;N;N;-8.089031;-34.929653
622;Regeneração, Rua da;Av. Beberibe, Aproximação da;E;Ocasional/Ped.;N;N;-8.018819;-34.892932
623;Carlos Gomes, Rua;Ricardo Salazar, Rua;E/Git;Veicular;N;N;-8.057961;-34.910720
